MFR URL,Ref URL 1,Ref URL 2,Ref URL 3,Ref URL 4,Ref URL 5,PART_NUMBER,Dept,Class,Fine,SKU - MY_PART_NUMBER,Mfg_Part_Num,Part_Desc,E1_Brand,Unilog_Brand,DIB_Brand,Part_Manuf,MANUFACTURER_NAME,BRAND_NAME,TRADE_NAME,MANUFACTURER_PART_NUMBER,ALTERNATE_PART_NUMBER,Classpath,MOBILE_DESC,INVOICE_DESC,SHORT_DESC,LONG_DESC1,RETAIL_DESC,MARKETING_DESCRIPTION,ITEM_FEATURES_1,ITEM_FEATURES_2,ITEM_FEATURES_3,ITEM_FEATURES_4,ITEM_FEATURES_5,ITEM_FEATURES_6,ITEM_FEATURES_7,ITEM_FEATURES_8,ITEM_FEATURES_9,ITEM_FEATURES_10,ITEM_FEATURES_11,ITEM_FEATURES_12,ITEM_FEATURES_13,ITEM_FEATURES_14,ITEM_FEATURES_15,ITEM_FEATURES_16,ITEM_FEATURES_17,ITEM_FEATURES_18,ITEM_FEATURES_19,ITEM_FEATURES_20,With,Standard/Approvals,Prop 65,Application,Includes,Product Name,ATTRIBUTE_LABEL 1,ATTRIBUTE_VALUE 1,ATTRIBUTE_UOM 1,ATTRIBUTE_LABEL 2,ATTRIBUTE_VALUE 2,ATTRIBUTE_UOM 2,ATTRIBUTE_LABEL 3,ATTRIBUTE_VALUE 3,ATTRIBUTE_UOM 3,ATTRIBUTE_LABEL 4,ATTRIBUTE_VALUE 4,ATTRIBUTE_UOM 4,ATTRIBUTE_LABEL 5,ATTRIBUTE_VALUE 5,ATTRIBUTE_UOM 5,ATTRIBUTE_LABEL 6,ATTRIBUTE_VALUE 6,ATTRIBUTE_UOM 6,ATTRIBUTE_LABEL 7,ATTRIBUTE_VALUE 7,ATTRIBUTE_UOM 7,ATTRIBUTE_LABEL 8,ATTRIBUTE_VALUE 8,ATTRIBUTE_UOM 8,ATTRIBUTE_LABEL 9,ATTRIBUTE_VALUE 9,ATTRIBUTE_UOM 9,ATTRIBUTE_LABEL 10,ATTRIBUTE_VALUE 10,ATTRIBUTE_UOM 10,ATTRIBUTE_LABEL 11,ATTRIBUTE_VALUE 11,ATTRIBUTE_UOM 11,ATTRIBUTE_LABEL 12,ATTRIBUTE_VALUE 12,ATTRIBUTE_UOM 12,ATTRIBUTE_LABEL 13,ATTRIBUTE_VALUE 13,ATTRIBUTE_UOM 13,ATTRIBUTE_LABEL 14,ATTRIBUTE_VALUE 14,ATTRIBUTE_UOM 14,ATTRIBUTE_LABEL 15,ATTRIBUTE_VALUE 15,ATTRIBUTE_UOM 15,ATTRIBUTE_LABEL 16,ATTRIBUTE_VALUE 16,ATTRIBUTE_UOM 16,ATTRIBUTE_LABEL 17,ATTRIBUTE_VALUE 17,ATTRIBUTE_UOM 17,ATTRIBUTE_LABEL 18,ATTRIBUTE_VALUE 18,ATTRIBUTE_UOM 18,ATTRIBUTE_LABEL 19,ATTRIBUTE_VALUE 19,ATTRIBUTE_UOM 19,ATTRIBUTE_LABEL 20,ATTRIBUTE_VALUE 20,ATTRIBUTE_UOM 20,ATTRIBUTE_LABEL 21,ATTRIBUTE_VALUE 21,ATTRIBUTE_UOM 21,ATTRIBUTE_LABEL 22,ATTRIBUTE_VALUE 22,ATTRIBUTE_UOM 22,ATTRIBUTE_LABEL 23,ATTRIBUTE_VALUE 23,ATTRIBUTE_UOM 23,ATTRIBUTE_LABEL 24,ATTRIBUTE_VALUE 24,ATTRIBUTE_UOM 24,ATTRIBUTE_LABEL 25,ATTRIBUTE_VALUE 25,ATTRIBUTE_UOM 25,ATTRIBUTE_LABEL 26,ATTRIBUTE_VALUE 26,ATTRIBUTE_UOM 26,ATTRIBUTE_LABEL 27,ATTRIBUTE_VALUE 27,ATTRIBUTE_UOM 27,ATTRIBUTE_LABEL 28,ATTRIBUTE_VALUE 28,ATTRIBUTE_UOM 28,ATTRIBUTE_LABEL 29,ATTRIBUTE_VALUE 29,ATTRIBUTE_UOM 29,ATTRIBUTE_LABEL 30,ATTRIBUTE_VALUE 30,ATTRIBUTE_UOM 30,ATTRIBUTE_LABEL 31,ATTRIBUTE_VALUE 31,ATTRIBUTE_UOM 31,ATTRIBUTE_LABEL 32,ATTRIBUTE_VALUE 32,ATTRIBUTE_UOM 32,ATTRIBUTE_LABEL 33,ATTRIBUTE_VALUE 33,ATTRIBUTE_UOM 33,ATTRIBUTE_LABEL 34,ATTRIBUTE_VALUE 34,ATTRIBUTE_UOM 34,ATTRIBUTE_LABEL 35,ATTRIBUTE_VALUE 35,ATTRIBUTE_UOM 35,ATTRIBUTE_LABEL 36,ATTRIBUTE_VALUE 36,ATTRIBUTE_UOM 36,ATTRIBUTE_LABEL 37,ATTRIBUTE_VALUE 37,ATTRIBUTE_UOM 37,ATTRIBUTE_LABEL 38,ATTRIBUTE_VALUE 38,ATTRIBUTE_UOM 38,ATTRIBUTE_LABEL 39,ATTRIBUTE_VALUE 39,ATTRIBUTE_UOM 39,ATTRIBUTE_LABEL 40,ATTRIBUTE_VALUE 40,ATTRIBUTE_UOM 40,ATTRIBUTE_LABEL 41,ATTRIBUTE_VALUE 41,ATTRIBUTE_UOM 41,ATTRIBUTE_LABEL 42,ATTRIBUTE_VALUE 42,ATTRIBUTE_UOM 42,ATTRIBUTE_LABEL 43,ATTRIBUTE_VALUE 43,ATTRIBUTE_UOM 43,ATTRIBUTE_LABEL 44,ATTRIBUTE_VALUE 44,ATTRIBUTE_UOM 44,ATTRIBUTE_LABEL 45,ATTRIBUTE_VALUE 45,ATTRIBUTE_UOM 45,ATTRIBUTE_LABEL 46,ATTRIBUTE_VALUE 46,ATTRIBUTE_UOM 46,ATTRIBUTE_LABEL 47,ATTRIBUTE_VALUE 47,ATTRIBUTE_UOM 47,ATTRIBUTE_LABEL 48,ATTRIBUTE_VALUE 48,ATTRIBUTE_UOM 48,ATTRIBUTE_LABEL 49,ATTRIBUTE_VALUE 49,ATTRIBUTE_UOM 49,ATTRIBUTE_LABEL 50,ATTRIBUTE_VALUE 50,ATTRIBUTE_UOM 50,UPC,EAN,GTIN,UNSPSC,Warranty,List Price,Selling Qty,Selling UOM,Standard Packaging Information,LENGTH,LENGTH_UOM,HEIGHT,HEIGHT_UOM,WIDTH,WIDTH_UOM,WEIGHT,WEIGHT_UOM,VOLUME,VOLUME_UOM,Product Image,Alternate Image 1,Alternate Image 2,Alternate Image 3,Alternate Image 4,SDS,SDS_1,Warranty Information,Catalog,Specification Sheet,Instruction/Installation Manual,Service Manual,Owners/User Manual,Line Drawing,MTR,RoHS,Full Engineering Drawing,Energy Star Guide,Technical Bulletin,Submittal,Compatibility Chart,Size Chart,Product Label/Insert,Video Link,Video Link 1,Country Of Origin,Discontinued,Actual Image (Yes/No)
,,,,,,,Tools & Equipment,Power Tool Accessories,"Sanding Belts, Discs & Sheets",,9A-570-320,9A-570-320 Abranet 2.75x30,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Mirka Abrasives Inc (MIRUS),Mirka Abrasives Inc,,,9A-570-320,,Tools & Equipment>Power Tool Accessories>Coated Abrasives,"Mirka Abrasives Inc, Abranet, 9A-570-320, 2.75x30",ABRANET 2.75X30,"9A-570-320 Abranet, 2.75x30","Abranet, 2.75x30","Abranet, 2.75x30",,,,,,,,,,,,,,,,,,,,,,,,,,,Abranet,Product Name,Abranet,,Brand,,,Material,2.75x30,,Color,,,Size,,,Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31191500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Tools & Equipment,Power Tool Accessories,Cut-Off & Grinding Wheels,,DBD090094101F,"DBD090094101F Diablo 9"" - Metal Cut-Off Disc",-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Freud Inc (2435),Freud Inc,,,DBD090094101F,,Tools & Equipment>Power Tool Accessories>Abrasive Wheels,"Freud Inc, Cut-Off Wheel, DBD090094101F, 9 in Diameter, metal Application",CUT-OFF WHEEL 9IN METAL CUT-OFF 1,"DBD090094101F Cut-Off Wheel, 9 in Diameter, metal Application, Cut-Off Wheel Type, 1 Quantity","Cut-Off Wheel, 9 in Diameter, metal Application, Cut-Off Wheel Type, 1 Quantity","Cut-Off Wheel, 9 in Diameter, metal Application, Cut-Off Wheel Type, 1 Quantity",,9 in,,,,,,,,,,,,,,,,,,,,,,,metal,,,Diameter,9,in,Thickness,,,Arbor Size,,,Application,metal,,Wheel Type,Cut-Off,,Abrasive,,,Maximum Speed,,,Quantity,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23101500,,,1,EA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Tools & Equipment,Power Tool Accessories,Cut-Off & Grinding Wheels,,DBDS12125A01F,"DBDS12125A01F Diablo 12"" - Steel Demon Metal Cut-Off Disc",-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Freud Inc (2435),Freud Inc,,,DBDS12125A01F,,Tools & Equipment>Power Tool Accessories>Abrasive Wheels,"Freud Inc, Cut-Off Wheel, DBDS12125A01F, 12 in Diameter, Steel Application",CUT-OFF WHEEL 12IN STEEL 1,"DBDS12125A01F Cut-Off Wheel, 12 in Diameter, Steel Application, Metal Cut-Off Wheel Type, 1 Quantity","Cut-Off Wheel, 12 in Diameter, Steel Application, Metal Cut-Off Wheel Type, 1 Quantity","Cut-Off Wheel, 12 in Diameter, Steel Application, Metal Cut-Off Wheel Type, 1 Quantity",,12 in,,,,,,,,,,,,,,,,,,,,,,,Steel,,,Diameter,12,in,Thickness,,,Arbor Size,,,Application,Steel,,Wheel Type,Metal Cut-Off,,Abrasive,,,Maximum Speed,,,Quantity,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23101500,,,1,EA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Tools & Equipment,Power Tool Accessories,Cut-Off & Grinding Wheels,,DBDS12125G01F,"DBDS12125G01F Diablo 12""x20mm - Speed Demon Metal Cut-Off Disc",-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Freud Inc (2435),Freud Inc,,,DBDS12125G01F,,Tools & Equipment>Power Tool Accessories>Abrasive Wheels,"Freud Inc, Cut-Off Wheel, DBDS12125G01F, 12 in Diameter, 20 mm Thickness",CUT-OFF WHEEL 12IN 20MM METAL CUT-OFF,"DBDS12125G01F Cut-Off Wheel, 12 in Diameter, 20 mm Thickness, metal Application, Cut-Off Wheel Type","Cut-Off Wheel, 12 in Diameter, 20 mm Thickness, metal Application, Cut-Off Wheel Type, Metal Cut-Off Disc Abrasive","Cut-Off Wheel, 12 in Diameter, 20 mm Thickness, metal Application, Cut-Off Wheel Type, Metal Cut-Off Disc Abrasive",,12 in,20 mm,,,,,,,,,,,,,,,,,,,,,,metal,,,Diameter,12,in,Thickness,20,mm,Arbor Size,,,Application,metal,,Wheel Type,Cut-Off,,Abrasive,Metal Cut-Off Disc,,Maximum Speed,,,Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23101500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Tools & Equipment,Power Tool Accessories,Cut-Off & Grinding Wheels,,DBDS14125A01F,"DBDS14125A01F Diablo 14""x1"" - Steel Demon Metal Cut-Off Disc",-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Freud Inc (2435),Freud Inc,,,DBDS14125A01F,,Tools & Equipment>Power Tool Accessories>Abrasive Wheels,"Freud Inc, Cut-Off Wheel, DBDS14125A01F, 14 in Diameter, 1 in Thickness",CUT-OFF WHEEL 14IN 1IN STEEL 1,"DBDS14125A01F Cut-Off Wheel, 14 in Diameter, 1 in Thickness, Steel Application, Metal Cut-Off Wheel Type, 1 Quantity","Cut-Off Wheel, 14 in Diameter, 1 in Thickness, Steel Application, Metal Cut-Off Wheel Type, 1 Quantity","Cut-Off Wheel, 14 in Diameter, 1 in Thickness, Steel Application, Metal Cut-Off Wheel Type, 1 Quantity",,14 in,1 in,,,,,,,,,,,,,,,,,,,,,,Steel,,,Diameter,14,in,Thickness,1,in,Arbor Size,,,Application,Steel,,Wheel Type,Metal Cut-Off,,Abrasive,,,Maximum Speed,,,Quantity,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23101500,,,1,EA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Tools & Equipment,Power Tool Accessories,Cut-Off & Grinding Wheels,,DBDS14125G01F,"DBDS14125G01F Diablo 14""x20mm - Steel Demon Metal Cut-Off Disc",-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Freud Inc (2435),Freud Inc,,,DBDS14125G01F,,Tools & Equipment>Power Tool Accessories>Abrasive Wheels,"Freud Inc, Cut-Off Wheel, DBDS14125G01F, 14 in Diameter, 20 mm Thickness",CUT-OFF WHEEL 14IN 20MM STEEL 1,"DBDS14125G01F Cut-Off Wheel, 14 in Diameter, 20 mm Thickness, Steel Application, Metal Cut-Off Wheel Type, 1 Quantity","Cut-Off Wheel, 14 in Diameter, 20 mm Thickness, Steel Application, Metal Cut-Off Wheel Type, 1 Quantity","Cut-Off Wheel, 14 in Diameter, 20 mm Thickness, Steel Application, Metal Cut-Off Wheel Type, 1 Quantity",,14 in,20 mm,,,,,,,,,,,,,,,,,,,,,,Steel,,,Diameter,14,in,Thickness,20,mm,Arbor Size,,,Application,Steel,,Wheel Type,Metal Cut-Off,,Abrasive,,,Maximum Speed,,,Quantity,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23101500,,,1,EA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Tools & Equipment,Power Tool Accessories,Cut-Off & Grinding Wheels,,49-94-0013,"49-94-0013 Milw 5""x.045""x7/8"" Metal Cut Off Disc",-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Milwaukee Accessory (4031),Milwaukee Accessory,,,49-94-0013,,Tools & Equipment>Power Tool Accessories>Abrasive Wheels,"Milwaukee Accessory, Cut-Off Wheel, 49-94-0013, 5 in Diameter",CUT-OFF WHEEL 5IN .045IN 0.875IN METAL 1,"49-94-0013 Cut-Off Wheel, 5 in Diameter, .045 in Thickness, 0.875 in Arbor Size, metal Application, Cut Off Wheel Type","Cut-Off Wheel, 5 in Diameter, .045 in Thickness, 0.875 in Arbor Size, metal Application, Cut Off Wheel Type, 1 Quantity","Cut-Off Wheel, 5 in Diameter, .045 in Thickness, 0.875 in Arbor Size, metal Application, Cut Off Wheel Type, 1 Quantity",,5 in,.045 in,0.875 in,,,,,,,,,,,,,,,,,,,,,metal,,,Diameter,5,in,Thickness,.045,in,Arbor Size,0.875,in,Application,metal,,Wheel Type,Cut Off,,Abrasive,,,Maximum Speed,,,Quantity,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23101500,,,1,EA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Tools & Equipment,Power Tool Accessories,Cut-Off & Grinding Wheels,,49-94-0029,"49-94-0029 Milw 6-1/2""x1/8""x5/8"" DKO Metal Cut Off Disc",-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Milwaukee Accessory (4031),Milwaukee Accessory,,,49-94-0029,,Tools & Equipment>Power Tool Accessories>Abrasive Wheels,"Milwaukee Accessory, Cut-Off Wheel, 49-94-0029, 6.5 in Diameter",CUT-OFF WHEEL 6.5IN 0.125IN 0.625IN 1,"49-94-0029 Cut-Off Wheel, 6.5 in Diameter, 0.125 in Thickness, 0.625 in Arbor Size, DKO Metal Application","Cut-Off Wheel, 6.5 in Diameter, 0.125 in Thickness, 0.625 in Arbor Size, DKO Metal Application, Cut Off Wheel Type, 1 Quantity","Cut-Off Wheel, 6.5 in Diameter, 0.125 in Thickness, 0.625 in Arbor Size, DKO Metal Application, Cut Off Wheel Type",,6.5 in,0.125 in,0.625 in,,,,,,,,,,,,,,,,,,,,,DKO Metal,,,Diameter,6.5,in,Thickness,0.125,in,Arbor Size,0.625,in,Application,DKO Metal,,Wheel Type,Cut Off,,Abrasive,,,Maximum Speed,,,Quantity,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23101500,,,1,EA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Tools & Equipment,Power Tool Accessories,Cut-Off & Grinding Wheels,,49-94-0033,"49-94-0033 Milw 7""x1/16""x7/8"" Metal Cut Off Disc",-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Milwaukee Accessory (4031),Milwaukee Accessory,,,49-94-0033,,Tools & Equipment>Power Tool Accessories>Abrasive Wheels,"Milwaukee Accessory, Cut-Off Wheel, 49-94-0033, 7 in Diameter",CUT-OFF WHEEL 7IN 0.0625IN 0.875IN METAL,"49-94-0033 Cut-Off Wheel, 7 in Diameter, 0.0625 in Thickness, 0.875 in Arbor Size, metal Application, Cut Off Wheel Type","Cut-Off Wheel, 7 in Diameter, 0.0625 in Thickness, 0.875 in Arbor Size, metal Application, Cut Off Wheel Type, 1 Quantity","Cut-Off Wheel, 7 in Diameter, 0.0625 in Thickness, 0.875 in Arbor Size, metal Application, Cut Off Wheel Type",,7 in,0.0625 in,0.875 in,,,,,,,,,,,,,,,,,,,,,metal,,,Diameter,7,in,Thickness,0.0625,in,Arbor Size,0.875,in,Application,metal,,Wheel Type,Cut Off,,Abrasive,,,Maximum Speed,,,Quantity,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23101500,,,1,EA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Tools & Equipment,Power Tool Accessories,Cut-Off & Grinding Wheels,,49-94-0001,"49-94-0001 Milw 4""x.040""x5/8"" Metal Cut Off Disc",-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Milwaukee Accessory (4031),Milwaukee Accessory,,,49-94-0001,,Tools & Equipment>Power Tool Accessories>Abrasive Wheels,"Milwaukee Accessory, Cut-Off Wheel, 49-94-0001, 4 in Diameter",CUT-OFF WHEEL 4IN .040IN 0.625IN METAL 1,"49-94-0001 Cut-Off Wheel, 4 in Diameter, .040 in Thickness, 0.625 in Arbor Size, metal Application, Cut Off Wheel Type","Cut-Off Wheel, 4 in Diameter, .040 in Thickness, 0.625 in Arbor Size, metal Application, Cut Off Wheel Type, 1 Quantity","Cut-Off Wheel, 4 in Diameter, .040 in Thickness, 0.625 in Arbor Size, metal Application, Cut Off Wheel Type, 1 Quantity",,4 in,.040 in,0.625 in,,,,,,,,,,,,,,,,,,,,,metal,,,Diameter,4,in,Thickness,.040,in,Arbor Size,0.625,in,Application,metal,,Wheel Type,Cut Off,,Abrasive,,,Maximum Speed,,,Quantity,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23101500,,,1,EA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Tools & Equipment,Power Tool Accessories,Cut-Off & Grinding Wheels,,49-94-0039,"49-94-0039 Milw 7""x1/8""x5/8"" DKO Metal Cut Off Disc",-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Milwaukee Accessory (4031),Milwaukee Accessory,,,49-94-0039,,Tools & Equipment>Power Tool Accessories>Abrasive Wheels,"Milwaukee Accessory, Cut-Off Wheel, 49-94-0039, 7 in Diameter",CUT-OFF WHEEL 7IN 0.125IN 0.625IN METAL,"49-94-0039 Cut-Off Wheel, 7 in Diameter, 0.125 in Thickness, 0.625 in Arbor Size, metal Application, Cut Off Wheel Type","Cut-Off Wheel, 7 in Diameter, 0.125 in Thickness, 0.625 in Arbor Size, metal Application, Cut Off Wheel Type, 1 Quantity","Cut-Off Wheel, 7 in Diameter, 0.125 in Thickness, 0.625 in Arbor Size, metal Application, Cut Off Wheel Type, 1 Quantity",,7 in,0.125 in,0.625 in,,,,,,,,,,,,,,,,,,,,,metal,,,Diameter,7,in,Thickness,0.125,in,Arbor Size,0.625,in,Application,metal,,Wheel Type,Cut Off,,Abrasive,,,Maximum Speed,,,Quantity,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23101500,,,1,EA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Tools & Equipment,Power Tool Accessories,Cut-Off & Grinding Wheels,,49-94-0043,"49-94-0043 Milw 9""x3/32""x7/8"" Metal Cut Off Disc",-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Milwaukee Accessory (4031),Milwaukee Accessory,,,49-94-0043,,Tools & Equipment>Power Tool Accessories>Abrasive Wheels,"Milwaukee Accessory, Cut-Off Wheel, 49-94-0043, 9 in Diameter",CUT-OFF WHEEL 9IN 0.09375IN 0.875IN,"49-94-0043 Cut-Off Wheel, 9 in Diameter, 0.09375 in Thickness, 0.875 in Arbor Size, metal Application","Cut-Off Wheel, 9 in Diameter, 0.09375 in Thickness, 0.875 in Arbor Size, metal Application, Cut Off Wheel Type","Cut-Off Wheel, 9 in Diameter, 0.09375 in Thickness, 0.875 in Arbor Size, metal Application, Cut Off Wheel Type",,9 in,0.09375 in,0.875 in,,,,,,,,,,,,,,,,,,,,,metal,,,Diameter,9,in,Thickness,0.09375,in,Arbor Size,0.875,in,Application,metal,,Wheel Type,Cut Off,,Abrasive,,,Maximum Speed,,,Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23101500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Tools & Equipment,Power Tool Accessories,Cut-Off & Grinding Wheels,,49-94-0048,"49-94-0048 Milw 12""x7/64""x1"" Metal Cut Off Disc General Purpose",-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Milwaukee Accessory (4031),Milwaukee Accessory,,,49-94-0048,,Tools & Equipment>Power Tool Accessories>Abrasive Wheels,"Milwaukee Accessory, Cut-Off Wheel, 49-94-0048, 12 in Diameter",CUT-OFF WHEEL 12IN 0.109375IN 1IN METAL,"49-94-0048 Cut-Off Wheel, 12 in Diameter, 0.109375 in Thickness, 1 in Arbor Size, metal Application","Cut-Off Wheel, 12 in Diameter, 0.109375 in Thickness, 1 in Arbor Size, metal Application, Cut Off Disc Wheel Type, General Purpose Quantity","Cut-Off Wheel, 12 in Diameter, 0.109375 in Thickness, 1 in Arbor Size, metal Application, Cut Off Disc Wheel Type",,12 in,0.109375 in,1 in,,,,,,,,,,,,,,,,,,,,,metal,,,Diameter,12,in,Thickness,0.109375,in,Arbor Size,1,in,Application,metal,,Wheel Type,Cut Off Disc,,Abrasive,,,Maximum Speed,,,Quantity,General Purpose,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23101500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Tools & Equipment,Power Tool Accessories,Cut-Off & Grinding Wheels,,49-94-0053,"49-94-0053 Milw 12""x1/8""x1"" Metal Cut Off Disc",-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Milwaukee Accessory (4031),Milwaukee Accessory,,,49-94-0053,,Tools & Equipment>Power Tool Accessories>Abrasive Wheels,"Milwaukee Accessory, Cut-Off Wheel, 49-94-0053, 12 in Diameter",CUT-OFF WHEEL 12IN 0.125IN 1IN METAL 1,"49-94-0053 Cut-Off Wheel, 12 in Diameter, 0.125 in Thickness, 1 in Arbor Size, metal Application, Cut Off Wheel Type","Cut-Off Wheel, 12 in Diameter, 0.125 in Thickness, 1 in Arbor Size, metal Application, Cut Off Wheel Type, 1 Quantity","Cut-Off Wheel, 12 in Diameter, 0.125 in Thickness, 1 in Arbor Size, metal Application, Cut Off Wheel Type, 1 Quantity",,12 in,0.125 in,1 in,,,,,,,,,,,,,,,,,,,,,metal,,,Diameter,12,in,Thickness,0.125,in,Arbor Size,1,in,Application,metal,,Wheel Type,Cut Off,,Abrasive,,,Maximum Speed,,,Quantity,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23101500,,,1,EA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
