SKU,Column,Attribute,Value,UOM,Provenance,Certified,Nonconformity,Source Quote,Verifier Signals
49-94-1925,LONG_DESC1,,"Cut-Off Wheel, 10 in Diameter, 0.125 in Thickness, 0.625 in Arbor Size, masonry Application, Cut Off Wheel Type, 1 Quantity",,composed,yes,,10 | 1/8 | 5/8 | Masonry | Cut Off | 1,
49-94-1925,RETAIL_DESC,,"Cut-Off Wheel, 10 in Diameter, 0.125 in Thickness, 0.625 in Arbor Size, masonry Application, Cut Off Wheel Type",,composed,yes,,10 | 1/8 | 5/8 | Masonry | Cut Off,
49-94-1925,ITEM_FEATURES_1,,10 in,,composed,yes,,10,
49-94-1925,ITEM_FEATURES_2,,0.125 in,,composed,yes,,1/8,
49-94-1925,ITEM_FEATURES_3,,0.625 in,,composed,yes,,5/8,
49-94-1925,Application,material_application,masonry,,derived,yes,,Masonry,"dimensional: abstained (material_application is nominal, not a physical quantity) ; constraint: abstained (no constraint in abrasive.cutoff_disc mentions material_application) ; identity: abstained (material_application is not an identity claim) ; vocabulary: 1.00 ('masonry' is a declared term for material_application)"
49-94-1925,ATTRIBUTE_LABEL 1,disc_diameter,Diameter,,derived,yes,,,"dimensional: 0.55 ('10' carries no unit; assuming millimeter. Unlabelled numbers are how inch/millimetre errors enter a catalog.) ; constraint: 1.00 (all 3 constraint(s) on disc_diameter hold) ; identity: abstained (disc_diameter is not an identity claim) ; vocabulary: abstained (disc_diameter is quantity, not a controlled term)"
49-94-1925,ATTRIBUTE_VALUE 1,disc_diameter,10,,extracted,no,,10,"dimensional: 0.55 ('10' carries no unit; assuming millimeter. Unlabelled numbers are how inch/millimetre errors enter a catalog.) ; constraint: 1.00 (all 3 constraint(s) on disc_diameter hold) ; identity: abstained (disc_diameter is not an identity claim) ; vocabulary: abstained (disc_diameter is quantity, not a controlled term)"
49-94-1925,ATTRIBUTE_UOM 1,disc_diameter,in,,derived,no,,,"dimensional: 0.55 ('10' carries no unit; assuming millimeter. Unlabelled numbers are how inch/millimetre errors enter a catalog.) ; constraint: 1.00 (all 3 constraint(s) on disc_diameter hold) ; identity: abstained (disc_diameter is not an identity claim) ; vocabulary: abstained (disc_diameter is quantity, not a controlled term)"
49-94-1925,ATTRIBUTE_LABEL 2,thickness,Thickness,,derived,yes,,,"dimensional: 0.55 ('0.125' carries no unit; assuming millimeter. Unlabelled numbers are how inch/millimetre errors enter a catalog.) ; constraint: 1.00 (all 2 constraint(s) on thickness hold) ; identity: abstained (thickness is not an identity claim) ; vocabulary: abstained (thickness is quantity, not a controlled term)"
49-94-1925,ATTRIBUTE_VALUE 2,thickness,0.125,,extracted,no,,1/8,"dimensional: 0.55 ('0.125' carries no unit; assuming millimeter. Unlabelled numbers are how inch/millimetre errors enter a catalog.) ; constraint: 1.00 (all 2 constraint(s) on thickness hold) ; identity: abstained (thickness is not an identity claim) ; vocabulary: abstained (thickness is quantity, not a controlled term)"
49-94-1925,ATTRIBUTE_UOM 2,thickness,in,,derived,no,,,"dimensional: 0.55 ('0.125' carries no unit; assuming millimeter. Unlabelled numbers are how inch/millimetre errors enter a catalog.) ; constraint: 1.00 (all 2 constraint(s) on thickness hold) ; identity: abstained (thickness is not an identity claim) ; vocabulary: abstained (thickness is quantity, not a controlled term)"
49-94-1925,ATTRIBUTE_LABEL 3,arbor_diameter,Arbor Size,,derived,yes,,,"dimensional: 0.55 ('0.625' carries no unit; assuming millimeter. Unlabelled numbers are how inch/millimetre errors enter a catalog.) ; constraint: 1.00 (all 2 constraint(s) on arbor_diameter hold) ; identity: abstained (arbor_diameter is not an identity claim) ; vocabulary: abstained (arbor_diameter is quantity, not a controlled term)"
49-94-1925,ATTRIBUTE_VALUE 3,arbor_diameter,0.625,,extracted,no,,5/8,"dimensional: 0.55 ('0.625' carries no unit; assuming millimeter. Unlabelled numbers are how inch/millimetre errors enter a catalog.) ; constraint: 1.00 (all 2 constraint(s) on arbor_diameter hold) ; identity: abstained (arbor_diameter is not an identity claim) ; vocabulary: abstained (arbor_diameter is quantity, not a controlled term)"
49-94-1925,ATTRIBUTE_UOM 3,arbor_diameter,in,,derived,no,,,"dimensional: 0.55 ('0.625' carries no unit; assuming millimeter. Unlabelled numbers are how inch/millimetre errors enter a catalog.) ; constraint: 1.00 (all 2 constraint(s) on arbor_diameter hold) ; identity: abstained (arbor_diameter is not an identity claim) ; vocabulary: abstained (arbor_diameter is quantity, not a controlled term)"
49-94-1925,ATTRIBUTE_LABEL 4,material_application,Application,,derived,yes,,,"dimensional: abstained (material_application is nominal, not a physical quantity) ; constraint: abstained (no constraint in abrasive.cutoff_disc mentions material_application) ; identity: abstained (material_application is not an identity claim) ; vocabulary: 1.00 ('masonry' is a declared term for material_application)"
